TransactionID,CustomerID,ProductID,Quantity,Price,TransactionDate
T00001,C1193,P304,6,178.93,2025-03-27
T00002,C1487,P292,10,89.49,2025-02-27
T00003,C1349,P145,1,84.87,2025-05-09
T00004,C1203,P530,3,129.17,2025-05-23
T00005,C1056,P163,2,432.15,2025-04-19
T00006,C1817,P487,6,147.45,2025-01-05
T00007,C1341,P249,5,491.57,2025-06-24
T00008,C1468,P417,8,281.93,2025-05-24
T00009,C1761,P429,9,173.14,2025-06-24
T00010,C1149,P598,4,226.23,2025-04-11
T00011,C1612,P480,8,449.79,2025-06-14
T00012,C1610,P285,3,197.86,2025-04-09
T00013,C1029,P408,2,290.46,2025-06-28
T00014,C1463,P108,1,132.89,2025-04-13
T00015,C1203,P173,1,290.64,2025-06-29
T00016,C1154,P306,2,353.29,2025-01-31
T00017,C1197,P226,8,169.99,2025-04-26
T00018,C1208,P389,5,278.53,2025-02-24
T00019,C1582,P330,6,425.92,2025-05-01
T00020,C1518,P157,3,401.77,2025-05-09
T00021,C1946,P253,8,272.26,2025-05-22
T00022,C1869,P565,6,316.57,2025-03-04
T00023,C1367,P414,4,302.83,2025-05-03
T00024,C1974,P305,8,40.3,2025-02-07
T00025,C1237,P190,1,461.34,2025-03-10
T00026,C1597,P236,7,193.52,2025-06-21
T00027,C1487,P448,7,60.32,2025-05-17
T00028,C1262,P181,3,310.67,2025-02-26
T00029,C1258,P567,2,168.91,2025-03-15
T00030,C1522,P134,9,351.36,2025-05-03
T00031,C1161,P414,3,429.25,2025-02-13
T00032,C1407,P122,1,184.72,2025-03-28
T00033,C1728,P352,4,82.45,2025-06-02
T00034,C1054,P305,10,252.25,2025-01-18
T00035,C1001,P335,8,354.19,2025-06-15
T00036,C1739,P579,9,139.49,2025-04-17
T00037,C1518,P383,9,22.7,2025-02-21
T00038,C1201,P580,9,274.37,2025-02-23
T00039,C1995,P546,3,23.54,2025-01-23
T00040,C1434,P185,10,207.91,2025-05-10
T00041,C1227,P172,1,32.49,2025-04-05
T00042,C1730,P236,1,163.2,2025-06-06
T00043,C1379,P229,6,60.19,2025-06-22
T00044,C1636,P510,1,241.29,2025-01-30
T00045,C1468,P231,6,261.48,2025-02-14
T00046,C1805,P356,10,427.35,2025-06-07
T00047,C1719,P512,6,100.34,2025-06-15
T00048,C1382,P275,4,261.2,2025-04-14
T00049,C1005,P153,2,275.28,2025-04-02
T00050,C1326,P145,1,288.64,2025-05-17
T00051,C1616,P197,2,431.29,2025-01-11
T00052,C1386,P519,9,189.03,2025-06-02
T00053,C1385,P185,10,216.03,2025-04-19
T00054,C1303,P552,5,76.63,2025-04-30
T00055,C1270,P547,4,166.21,2025-03-23
T00056,C1370,P547,6,337.11,2025-01-15
T00057,C1446,P436,5,464.88,2025-03-05
T00058,C1534,P482,8,342.5,2025-02-20
T00059,C1278,P214,4,93.8,2025-05-27
T00060,C1275,P128,2,125.44,2025-03-02
T00061,C1562,P505,4,125.59,2025-05-07
T00062,C1041,P310,3,89.5,2025-05-29
T00063,C1655,P491,1,152.82,2025-03-15
T00064,C1112,P256,6,108.95,2025-01-08
T00065,C1989,P506,3,13.15,2025-02-07
T00066,C1435,P338,4,144.68,2025-04-02
T00067,C1458,P510,3,168.49,2025-01-29
T00068,C1038,P302,6,326.73,2025-01-24
T00069,C1222,P438,7,218.21,2025-02-13
T00070,C1881,P348,9,332.95,2025-03-30
T00071,C1438,P156,4,433.71,2025-05-02
T00072,C1340,P400,2,57.48,2025-03-09
T00073,C1270,P261,1,99.82,2025-03-19
T00074,C1408,P345,7,476.81,2025-06-20
T00075,C1478,P177,3,29.42,2025-04-13
T00076,C1025,P239,9,453.79,2025-06-03
T00077,C1577,P463,8,409.48,2025-02-27
T00078,C1018,P233,9,359.56,2025-05-21
T00079,C1472,P151,5,263.89,2025-06-24
T00080,C1969,P518,6,427.48,2025-04-08
T00081,C1360,P158,1,457.06,2025-06-24
T00082,C1524,P273,8,35.85,2025-03-19
T00083,C1581,P598,10,79.97,2025-02-17
T00084,C1268,P281,8,155.94,2025-01-11
T00085,C1805,P520,3,374.47,2025-01-16
T00086,C1611,P213,5,59.14,2025-01-18
T00087,C1680,P196,10,438.44,2025-06-25
T00088,C1023,P188,10,209.61,2025-03-15
T00089,C1466,P416,8,422.88,2025-02-01
T00090,C1208,P546,2,259.17,2025-04-30
T00091,C1937,P303,9,271.22,2025-02-15
T00092,C1188,P573,3,108.11,2025-05-17
T00093,C1766,P247,5,118.08,2025-06-25
T00094,C1889,P124,3,142.78,2025-02-19
T00095,C1880,P499,5,164.82,2025-03-22
T00096,C1411,P225,4,72.22,2025-06-10
T00097,C1098,P109,3,63.53,2025-03-13
T00098,C1040,P314,2,343.33,2025-02-27
T00099,C1358,P328,3,495.38,2025-04-13
T00100,C1113,P423,3,316.11,2025-03-02
T00101,C1811,P268,4,364.49,2025-04-13
T00102,C1066,P379,9,81.96,2025-04-19
T00103,C1846,P249,4,179.51,2025-06-14
